,accuracy,auc,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives
0,1.0,1.0,0.0,0.0,0.0010741544375196099,1.0,1.0,200.0,200.0
1,1.0,1.0,0.0,0.0,0.0055580494552850725,1.0,1.0,200.0,200.0
2,1.0,1.0,0.0,0.0,0.008699886128306389,1.0,1.0,200.0,200.0
3,1.0,1.0,0.0,0.0,0.003196023544296622,1.0,1.0,200.0,200.0
4,1.0,1.0,0.0,0.0,0.0021785750007256867,1.0,1.0,200.0,200.0
5,1.0,1.0,0.0,0.0,0.00339760129339993,1.0,1.0,200.0,200.0
6,1.0,0.9999999403953552,0.0,0.0,0.00771086199209094,1.0,1.0,200.0,200.0
7,1.0,1.0,0.0,0.0,0.028689045533537863,1.0,1.0,200.0,200.0
8,1.0,0.9999999403953552,0.0,0.0,0.006091780755668879,1.0,1.0,200.0,200.0
9,1.0,1.0,0.0,0.0,0.013966660276055335,1.0,1.0,200.0,200.0
10,1.0,0.9999999403953552,0.0,0.0,0.0020840098895132542,1.0,1.0,200.0,200.0
11,1.0,1.0,0.0,0.0,0.0019023315748199821,1.0,1.0,200.0,200.0
